name,mouse_id,sex,age,fi
LL5-B2B__2020-01-17_SPD__LL5-3_AgedB6-0928,AgedB6-0928,-1,105.0,6.0
LL5-B2B__2020-01-17_SPD__LL5-4_AgedB6-0929,AgedB6-0929,-1,105.0,5.0
LL6-B2B__2020-01-17_SPD__LL6-2_AgedB6-0931,AgedB6-0931,-1,105.0,4.5
LL6-B2B__2020-01-17_SPD__LL6-3_AgedB6-0933,AgedB6-0933,-1,105.0,5.0
LL6-B2B__2020-01-17_SPD__LL6-4_AgedB6-0935,AgedB6-0935,-1,105.0,6.0
LL1-B2B__2020-06-15_SPD__AgedB6-0739,AgedB6-0739,-1,51.0,3.0
LL1-B2B__2020-06-15_SPD__AgedB6-0740,AgedB6-0740,-1,51.0,3.0
LL1-B2B__2020-06-15_SPD__AgedB6-0741,AgedB6-0741,-1,51.0,2.0
LL2-B2B__2020-06-15_SPD__AgedB6-0743,AgedB6-0743,-1,51.0,3.5
LL2-B2B__2020-06-15_SPD__AgedB6-0747,AgedB6-0747,-1,51.0,3.5
LL3-B2B__2020-06-15_SPD__AgedB6-0857,AgedB6-0857,-1,126.0,6.0
LL3-B2B__2020-06-15_SPD__AgedB6-0861,AgedB6-0861,-1,126.0,7.5
LL4-B2B__2020-06-15_SPD__AgedB6-0863,AgedB6-0863,-1,126.0,5.0
LL4-B2B__2020-06-15_SPD__AgedB6-0864,AgedB6-0864,-1,126.0,7.0
LL4-B2B__2020-06-15_SPD__AgedB6-0865,AgedB6-0865,-1,126.0,6.0
LL5-B2B__2020-06-15_SPD__AgedB6-1287,AgedB6-1287,1,7.0,1.0
LL5-B2B__2020-06-15_SPD__AgedB6-1288,AgedB6-1288,1,7.0,1.0
LL5-B2B__2020-06-15_SPD__AgedB6-1289,AgedB6-1289,1,7.0,1.0
LL6-B2B__2020-06-15_SPD__AgedB6-1291,AgedB6-1291,1,7.0,1.0
LL6-B2B__2020-06-15_SPD__AgedB6-1292,AgedB6-1292,1,7.0,1.0
LL6-B2B__2020-06-15_SPD__AgedB6-1297,AgedB6-1297,1,7.0,1.0
LL6-B2B__2020-06-15_SPD__AgedB6-1298,AgedB6-1298,1,7.0,1.0
LL3-B2B__2020-06-15_SPD__AgedB6-1299,AgedB6-1299,1,7.0,1.0
LL1-B2B__2020-06-16_SPD__AgedB6-0409,AgedB6-0409,1,79.0,4.0
LL1-B2B__2020-06-16_SPD__AgedB6-0410,AgedB6-0410,1,79.0,6.0
LL2-B2B__2020-06-16_SPD__AgedB6-0413,AgedB6-0413,1,79.0,4.5
LL2-B2B__2020-06-16_SPD__AgedB6-0414,AgedB6-0414,1,79.0,5.5
LL2-B2B__2020-06-16_SPD__AgedB6-0737,AgedB6-0737,1,51.0,1.5
