name,has_strain_result
LL2-B2B__2020-06-26_SPD__AgedB6-1206,True
LL2-B2B__2020-06-26_SPD__AgedB6-1207,True
LL2-B2B__2020-06-26_SPD__AgedB6-1208,True
LL2-B2B__2020-06-26_SPD__AgedB6-1209,True
LL2-B2B__2020-06-26_SPD__AgedB6-1260,True
LL2-B2B__2020-06-26_SPD__AgedB6-1266,True
LL2-B2B__2020-06-26_SPD__AgedB6-1267,True
LL2-B2B__2020-06-26_SPD__AgedB6-1268,True
LL2-B2B__2020-06-29_SPD__AgedB6-1147,True
LL2-B2B__2020-06-29_SPD__AgedB6-1148,True
LL2-B2B__2020-06-29_SPD__AgedB6-1153,True
LL2-B2B__2020-06-29_SPD__AgedB6-1154,True
LL2-B2B__2020-07-06_SPD__AgedB6-0453,True
LL2-B2B__2020-07-06_SPD__AgedB6-0454,True
LL2-B2B__2020-07-06_SPD__AgedB6-0846,True
LL2-B2B__2020-07-06_SPD__AgedB6-0849,True
LL2-B2B__2020-07-06_SPD__AgedB6-0850,True
LL2-B2B__2020-07-06_SPD__AgedB6-0851,True
LL2-B2B__2020-07-06_SPD__AgedB6-1057,True
LL2-B2B__2020-07-06_SPD__AgedB6-1240,True
LL2-B2B__2020-07-06_SPD__AgedB6-1241,True
LL2-B2B__2020-07-06_SPD__AgedB6-1243,True
LL2-B2B__2020-07-07_SPD__AgedB6-0943,True
LL2-B2B__2020-07-07_SPD__AgedB6-0948,True
LL2-B2B__2020-07-07_SPD__AgedB6-1255,True
LL2-B6__2021-06-01_SPD__AgedB6-0426,True
LL2-B6__2021-06-01_SPD__AgedB6-0528,True
LL2-B6__2021-06-01_SPD__AgedB6-0532,True
LL2-B6__2021-06-01_SPD__AgedB6-0534,True
LL2-B6__2021-06-01_SPD__AgedB6-1488,True
LL2-B6__2021-06-01_SPD__AgedB6-1489,True
LL2-B6__2021-06-01_SPD__AgedB6-1491,True
LL2-B6__2021-06-02_SPD__AgedB6-1430,True
LL2-B6__2021-06-02_SPD__AgedB6-1565,True
LL2-B6__2021-06-07_SPD__AgedB6-1408,True
LL2-B6__2021-06-08_SPD__AgedB6-2262,True
LL2-B6__2021-06-08_SPD__AgedB6-2263,True
LL2-B6__2021-06-08_SPD__AgedB6-2269,True
LL2-B6__2021-06-09_SPD__AgedB6-2259,False
LL2-B6__2021-06-14_SPD__AgedB6-0682,True
LL2-B6__2021-06-14_SPD__AgedB6-0683,True
LL2-B6__2021-06-15_SPD__AgedB6-2132,True
LL2-B6__2021-06-15_SPD__AgedB6-2168,True
LL2-B6__2021-06-16_SPD__AgedB6-0547,True
